"Status","Name","Duration in ms","Description"
"passed","src.testcases.D:\study\cy\training\ceba\pytesttraining\src\testcases\api.test_autouse.TestSample.test_answer2","2",""
"passed","src.testcases.D:\study\cy\training\ceba\pytesttraining\src\testcases\api.test_teardown.test_s2","2",""
"passed","src.testcases.D:\study\cy\training\ceba\pytesttraining\src\testcases\api.test_decorator.TestSample.test_answer2","5",""
"failed","src.testcases.D:\study\cy\training\ceba\pytesttraining\src\testcases\api.test_example.TestSample.test_answer_2","2007",""
"passed","src.testcases.D:\study\cy\training\ceba\pytesttraining\src\testcases\api.test_pyexample_rerun.test_add","2",""
"failed","src.testcases.D:\study\cy\training\ceba\pytesttraining\src\testcases\api.test_example.TestSample.test_answer","3018",""
"passed","src.testcases.D:\study\cy\training\ceba\pytesttraining\src\testcases\api.test_autouse.TestSampleTwo.test_two_answer2","3",""
"passed","src.testcases.D:\study\cy\training\ceba\pytesttraining\src\testcases\api.test_decorator.TestSample.test_answer","5",""
"passed","src.testcases.D:\study\cy\training\ceba\pytesttraining\src\testcases\api.test_pyexample_1.test_add","1",""
"passed","src.testcases.D:\study\cy\training\ceba\pytesttraining\src\testcases\api.test_fixturebyname.TestSample2.test_answer2_2","2",""
"passed","src.testcases.D:\study\cy\training\ceba\pytesttraining\src\testcases\api.test_pyexample_rerun.test_add2","3",""
"passed","src.testcases.D:\study\cy\training\ceba\pytesttraining\src\testcases\api.test_order.test_add","12",""
"failed","src.testcases.D:\study\cy\training\ceba\pytesttraining\src\testcases\api.test_parameters.test_add[8-9]","14",""
"passed","src.testcases.D:\study\cy\training\ceba\pytesttraining\src\testcases\api.test_autouse.TestSampleTwo.test_itme","2",""
"passed","src.testcases.D:\study\cy\training\ceba\pytesttraining\src\testcases\api.test_autouse.TestSample.test_answer","4",""
"passed","src.testcases.D:\study\cy\training\ceba\pytesttraining\src\testcases\api.test_parameters.test_add[6-6]","2",""
"failed","src.testcases.D:\study\cy\training\ceba\pytesttraining\src\testcases\api.test_parameters.test_add[54-42]","4",""
"passed","src.testcases.D:\study\cy\training\ceba\pytesttraining\src\testcases\api.test_fixturebyname.TestSample.test_answer","4",""
"failed","src.testcases.D:\study\cy\training\ceba\pytesttraining\src\testcases\api.test_pyexample_1.test_add2","3011",""
"passed","src.testcases.D:\study\cy\training\ceba\pytesttraining\src\testcases\api.test_fixturebyname.TestSample.test_answer2","2",""
"failed","src.testcases.D:\study\cy\training\ceba\pytesttraining\src\testcases\api.test_teardown.test_s1","6",""
"passed","src.testcases.D:\study\cy\training\ceba\pytesttraining\src\testcases\api.test_autouse.TestSampleTwo.test_two_answer","4",""
"passed","src.testcases.D:\study\cy\training\ceba\pytesttraining\src\testcases\api.test_teardown.test_s3","7",""
"passed","src.testcases.D:\study\cy\training\ceba\pytesttraining\src\testcases\api.test_fixturebyname.TestSample2.test_answer2_1","3",""
"failed","src.testcases.D:\study\cy\training\ceba\pytesttraining\src\testcases\api.test_example.TestSample2.test_answer4","5009",""
"passed","src.testcases.D:\study\cy\training\ceba\pytesttraining\src\testcases\api.test_example.TestSample.test_answer_3","3004",""
"failed","src.testcases.D:\study\cy\training\ceba\pytesttraining\src\testcases\api.test_order.test_add2","2091",""
