"Status","Name","Duration in ms","Description"
"passed","src.D:\study\cy\training\ceba\pytesttraining\src\api.test_pyexample_rerun.test_add","2",""
"failed","src.D:\study\cy\training\ceba\pytesttraining\src\api.test_parameters.test_add[54-42]","3",""
"failed","src.D:\study\cy\training\ceba\pytesttraining\src\api.test_parameters.test_add[8-9]","4",""
"failed","src.D:\study\cy\training\ceba\pytesttraining\src\api.test_example.TestSample.test_answer_2","39",""
"passed","src.D:\study\cy\training\ceba\pytesttraining\src\api.test_example.TestSample.test_answer","7",""
"passed","src.D:\study\cy\training\ceba\pytesttraining\src\api.test_example.TestSample.test_answer_3","1",""
"passed","src.D:\study\cy\training\ceba\pytesttraining\src\api.test_pysetupexample.TestSample.test_answer","2",""
"passed","src.D:\study\cy\training\ceba\pytesttraining\src\api.test_example.TestSample2.test_answer4","2",""
"passed","src.D:\study\cy\training\ceba\pytesttraining\src\api.test_parameters.test_add[6-6]","1",""
"failed","src.D:\study\cy\training\ceba\pytesttraining\src\api.test_pyexample_rerun.test_add2","4",""
"passed","src.D:\study\cy\training\ceba\pytesttraining\src\api.test_pyexample_1.test_add","1",""
"passed","src.D:\study\cy\training\ceba\pytesttraining\src\api.test_pyexample_1.test_add2","0",""
